ID,distance,azimuth,dbh,species,canopy.class,live.dead,notes
SEH002,11.61,6,15.5,ACSA,U,LIVE,
SEH005,22.5,22,34,ACSA,C,LIVE,
SEH038,19.79,212,23.4,ACSA,C,LIVE,
SEH004,13.59,19,61.9,BEAL,C,SNAG,
SEH006,26.78,26,60.2,BEAL,C,LIVE,
SEH007,24.95,11,34.4,BEAL,C,LIVE,
SEH008,29.62,2,50,BEAL,C,LIVE,
SEH022,23.81,284,78.2,BEAL,C,LIVE,
SEH024,16.81,263,64,BEAL,C,LIVE,
SEH027,24.49,252,40.1,BEAL,C,LIVE,
SEH042,27.75,192,41.5,BEAL,C,SNAG,
SEH046,19.05,166,65.5,BEAL,C,SNAG,
SEH047,21.77,166,54.3,BEAL,C,SNAG,
SEH056,26.68,132,60.1,BEAL,C,LIVE,
SEH061,28.95,105,48.3,BEAL,C,LIVE,
SEH066,25.7,80,32,BEAL,C,SNAG,
SEH067,29.91,54,49.3,BEAL,C,LIVE,
SEH071,20.78,57,37.2,BEAL,C,SNAG,
SEH072,20.63,67,51.5,BEAL,C,LIVE,
SEH074,16.04,60,50.2,BEAL,C,LIVE,
SEH075,14.75,56,50.1,BEAL,C,LIVE,
SEH032,18.25,241,36.9,NA,C,SNAG,
SEH035,13.18,228,21.6,NA,C,SNAG,
SEH058,13.68,126,32.5,NA,C,SNAG,
SEH009,26.4,357,32.6,THOC,I,LIVE,
SEH016,19.54,316,49.9,THOC,C,LIVE,
SEH025,21.4,261,36.6,THOC,I,LIVE,
SEH030,24.04,258,40.4,THOC,C,LIVE,
SEH031,24.54,250,38.2,THOC,C,LIVE,
SEH033,26.45,236,31.2,THOC,C,LIVE,
SEH034,24.22,235,40,THOC,C,LIVE,
SEH041,27.48,204,41.2,THOC,C,LIVE,
SEH052,13.83,150,25.5,THOC,I,LIVE,
SEH053,14.54,145,30.8,THOC,I,LIVE,
SEH057,24.26,126,30.1,THOC,I,LIVE,
SEH001,8.29,6,84.9,TSCA,C,LIVE,
SEH003,16.7,10,58.7,TSCA,C,LIVE,
SEH010,24.64,358,58.3,TSCA,C,SNAG,
SEH011,23.32,350,76.5,TSCA,C,LIVE,
SEH012,25.14,336,58.8,TSCA,C,LIVE,
SEH013,15.7,351,75.3,TSCA,C,LIVE,
SEH014,11.09,348,74.8,TSCA,C,LIVE,
SEH015,11.66,339,33.1,TSCA,C,LIVE,
SEH017,21.57,305,46.3,TSCA,C,LIVE,
SEH018,23.53,315,42.8,TSCA,C,LIVE,
SEH019,11.47,317,61.9,TSCA,C,LIVE,
SEH020,4.11,318,80.7,TSCA,C,LIVE,
SEH021,12.66,300,64.1,TSCA,C,LIVE,
SEH023,29.99,288,32.6,TSCA,C,LIVE,
SEH026,27.17,265,60.2,TSCA,C,LIVE,
SEH028,5.94,260,57.3,TSCA,C,LIVE,snapped top
SEH029,10.35,235,34.6,TSCA,C,LIVE,
SEH036,14.26,224,84,TSCA,C,LIVE,
SEH037,11.37,218,59.2,TSCA,C,LIVE,
SEH039,16.52,206,68.9,TSCA,C,LIVE,
SEH040,7.79,197,85.4,TSCA,C,LIVE,
SEH043,25.73,178,62.2,TSCA,C,LIVE,
SEH045,29.42,174,39.8,TSCA,C,LIVE,
SEH048,18.79,165,28.9,TSCA,I,LIVE,
SEH049,19.04,162,47.2,TSCA,C,LIVE,
SEH050,20.17,165,36.2,TSCA,C,LIVE,
SEH051,29.65,146,36.9,TSCA,C,LIVE,
SEH054,26,142,56.5,TSCA,C,LIVE,
SEH055,27.07,137,33.5,TSCA,C,LIVE,
SEH059,28.78,115,59.9,TSCA,C,LIVE,
SEH062,16.05,102,71,TSCA,C,LIVE,
SEH063,22.57,98,77,TSCA,C,LIVE,
SEH064,4.13,90,31.7,TSCA,C,LIVE,
SEH065,8.69,86,76.1,TSCA,C,LIVE,
SEH068,26.31,64,34.5,TSCA,C,LIVE,
SEH069,24.05,51,53.6,TSCA,C,LIVE,
SEH070,22.54,62,31.6,TSCA,I,LIVE,
SEH073,16.12,64,39.9,TSCA,C,LIVE,
